TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,SUSPICIOUS
46354000,1409100,1409100,1409100,1409100,100,0
46355000,1409100,1409100,1409100,1409100,43710,0
46356000,1409100,1409100,1409000,1409000,800,0
46357000,1409000,1409000,1409000,1409000,421,0
46359000,1409000,1409000,1409000,1409000,3500,0
46360000,1409000,1409000,1409000,1409000,714,0
46361000,1409000,1409000,1409000,1409000,600,0
46362000,1409100,1409100,1409100,1409100,200,0
46363000,1409000,1409000,1409000,1409000,200,0
46364000,1409000,1409000,1409000,1409000,538,0
46368000,1409000,1409000,1409000,1409000,100,0
46370000,1409100,1409100,1409100,1409100,200,0
46372000,1409100,1409100,1409100,1409100,200,0
46375000,1409100,1409100,1409100,1409100,300,0
46377000,1409000,1409000,1409000,1409000,100,0
46379000,1409100,1409100,1409100,1409100,500,0
46380000,1409100,1409100,1409100,1409100,1000,0
46381000,1409100,1409100,1409100,1409100,500,0
46382000,1409100,1409200,1409100,1409200,12761,0
46383000,1409200,1409200,1409100,1409100,3300,0
46386000,1409200,1409200,1409200,1409200,1200,0
46387000,1409200,1409200,1409200,1409200,400,0
46389000,1409200,1409200,1409200,1409200,100,0
46392000,1409200,1409200,1409200,1409200,200,0
46393000,1409200,1409200,1409200,1409200,1593,0
46396000,1409100,1409200,1408900,1409000,40400,0
46397000,1408900,1408900,1408900,1408900,152,0
46398000,1409200,1409200,1409200,1409200,200,0
46399000,1409000,1409000,1408900,1408900,1830,0
46400000,1408900,1408900,1408900,1408900,100,0
46402000,1409000,1409000,1409000,1409000,218,0
46405000,1409000,1409000,1409000,1409000,16785,0
46406000,1409000,1409000,1409000,1409000,200,0
46407000,1409000,1409000,1409000,1409000,100,0
46408000,1409000,1409100,1409000,1409000,28681,0
46409000,1409100,1409100,1409100,1409100,1400,0
46410000,1409100,1409100,1409100,1409100,400,0
46412000,1409100,1409100,1408700,1408900,81758,0
46413000,1408800,1409100,1408800,1408800,1200,0
46414000,1408900,1408900,1408900,1408900,1700,0
46415000,1409000,1409000,1408900,1408900,900,0
46417000,1408900,1408900,1408800,1408800,700,0
46422000,1408900,1408900,1408900,1408900,200,0
